country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Malaysia,MY,5/9/2021,TV,8,Good Girls,Good Girls: Season 4,1
Malaysia,MY,5/9/2021,TV,9,"Nevertheless,","Nevertheless,: Season 1",10
Malaysia,MY,5/9/2021,TV,10,Crash Landing on You,Crash Landing on You: Season 1,6
Malaysia,MY,29/8/2021,TV,1,Hospital Playlist,Hospital Playlist: Season 2,8
Malaysia,MY,29/8/2021,TV,2,"Nevertheless,","Nevertheless,: Season 1",9
Malaysia,MY,29/8/2021,TV,3,D.P.,D.P.: Season 1,1
Malaysia,MY,29/8/2021,TV,4,Zombie Detective,,2
Malaysia,MY,29/8/2021,TV,5,Lawless Lawyer,,5
Malaysia,MY,29/8/2021,TV,6,Vincenzo,Vincenzo: Season 1,9
Malaysia,MY,29/8/2021,TV,7,The Good Doctor,The Good Doctor: Season 1,7
Malaysia,MY,29/8/2021,TV,8,Clickbait,Clickbait: Limited Series,1
Malaysia,MY,29/8/2021,TV,9,The Good Doctor,The Good Doctor: Season 3,6
Malaysia,MY,29/8/2021,TV,10,Mr. Robot,Mr. Robot: Season 1,1
Malaysia,MY,22/8/2021,TV,1,"Nevertheless,","Nevertheless,: Season 1",8
Malaysia,MY,22/8/2021,TV,2,Hospital Playlist,Hospital Playlist: Season 2,7
Malaysia,MY,22/8/2021,TV,3,Lawless Lawyer,,4
Malaysia,MY,22/8/2021,TV,4,The Crowned Clown,,2
Malaysia,MY,22/8/2021,TV,5,Zombie Detective,,1
Malaysia,MY,22/8/2021,TV,6,The Good Doctor,The Good Doctor: Season 1,6
Malaysia,MY,22/8/2021,TV,7,Vincenzo,Vincenzo: Season 1,8
Malaysia,MY,22/8/2021,TV,8,The Good Doctor,The Good Doctor: Season 3,5
Malaysia,MY,22/8/2021,TV,9,The Good Doctor,The Good Doctor: Season 2,6
Malaysia,MY,22/8/2021,TV,10,Crash Landing on You,Crash Landing on You: Season 1,5
Malaysia,MY,15/8/2021,TV,1,Lawless Lawyer,,3
Malaysia,MY,15/8/2021,TV,2,"Nevertheless,","Nevertheless,: Season 1",7
Malaysia,MY,15/8/2021,TV,3,Hospital Playlist,Hospital Playlist: Season 2,6
Malaysia,MY,15/8/2021,TV,4,The Good Doctor,The Good Doctor: Season 1,5
Malaysia,MY,15/8/2021,TV,5,The Good Doctor,The Good Doctor: Season 3,4
Malaysia,MY,15/8/2021,TV,6,The Crowned Clown,,1
Malaysia,MY,15/8/2021,TV,7,The Good Doctor,The Good Doctor: Season 2,5
Malaysia,MY,15/8/2021,TV,8,SHAMAN KING,SHAMAN KING: Season 1,1
Malaysia,MY,15/8/2021,TV,9,Vincenzo,Vincenzo: Season 1,7
Malaysia,MY,15/8/2021,TV,10,Racket Boys,Racket Boys: Season 1,5
Malaysia,MY,8/8/2021,TV,1,Lawless Lawyer,,2
Malaysia,MY,8/8/2021,TV,2,"Nevertheless,","Nevertheless,: Season 1",6
Malaysia,MY,8/8/2021,TV,3,The Good Doctor,The Good Doctor: Season 1,4
Malaysia,MY,8/8/2021,TV,4,The Good Doctor,The Good Doctor: Season 3,3
Malaysia,MY,8/8/2021,TV,5,Encounter,,1
Malaysia,MY,8/8/2021,TV,6,The Good Doctor,The Good Doctor: Season 2,4
Malaysia,MY,8/8/2021,TV,7,Love (ft. Marriage and Divorce),Love (ft. Marriage and Divorce): Season 2,4
Malaysia,MY,8/8/2021,TV,8,Hospital Playlist,Hospital Playlist: Season 2,5
Malaysia,MY,8/8/2021,TV,9,Vincenzo,Vincenzo: Season 1,6
Malaysia,MY,8/8/2021,TV,10,Crash Landing on You,Crash Landing on You: Season 1,4
Malaysia,MY,1/8/2021,TV,1,The Good Doctor,The Good Doctor: Season 1,3
Malaysia,MY,1/8/2021,TV,2,The Good Doctor,The Good Doctor: Season 2,3
Malaysia,MY,1/8/2021,TV,3,The Good Doctor,The Good Doctor: Season 3,2
Malaysia,MY,1/8/2021,TV,4,"Nevertheless,","Nevertheless,: Season 1",5
Malaysia,MY,1/8/2021,TV,5,Vincenzo,Vincenzo: Season 1,5
Malaysia,MY,1/8/2021,TV,6,Lawless Lawyer,,1
Malaysia,MY,1/8/2021,TV,7,Birth of a Beauty,Birth of a Beauty: Season 1,2
Malaysia,MY,1/8/2021,TV,8,Racket Boys,Racket Boys: Season 1,4
Malaysia,MY,1/8/2021,TV,9,Kingdom,Kingdom: Season 1,1
Malaysia,MY,1/8/2021,TV,10,The Blacklist,The Blacklist: Season 8,1
Malaysia,MY,25/7/2021,TV,1,The Good Doctor,The Good Doctor: Season 1,2
Malaysia,MY,25/7/2021,TV,2,The Good Doctor,The Good Doctor: Season 2,2
Malaysia,MY,25/7/2021,TV,3,The Good Doctor,The Good Doctor: Season 3,1
Malaysia,MY,25/7/2021,TV,4,"Nevertheless,","Nevertheless,: Season 1",4
Malaysia,MY,25/7/2021,TV,5,Vincenzo,Vincenzo: Season 1,4
Malaysia,MY,25/7/2021,TV,6,Hospital Playlist,Hospital Playlist: Season 2,4
Malaysia,MY,25/7/2021,TV,7,Never Have I Ever,Never Have I Ever: Season 2,2
Malaysia,MY,25/7/2021,TV,8,Love (ft. Marriage and Divorce),Love (ft. Marriage and Divorce): Season 2,3
Malaysia,MY,25/7/2021,TV,9,Sex/Life,Sex/Life: Season 1,4
Malaysia,MY,25/7/2021,TV,10,Crash Landing on You,Crash Landing on You: Season 1,3
Malaysia,MY,18/7/2021,TV,1,The Good Doctor,The Good Doctor: Season 1,1
Malaysia,MY,18/7/2021,TV,2,"Nevertheless,","Nevertheless,: Season 1",3
Malaysia,MY,18/7/2021,TV,3,Never Have I Ever,Never Have I Ever: Season 2,1
Malaysia,MY,18/7/2021,TV,4,Vincenzo,Vincenzo: Season 1,3
Malaysia,MY,18/7/2021,TV,5,Sex/Life,Sex/Life: Season 1,3
Malaysia,MY,18/7/2021,TV,6,Hospital Playlist,Hospital Playlist: Season 2,3
Malaysia,MY,18/7/2021,TV,7,The Good Doctor,The Good Doctor: Season 2,1
Malaysia,MY,18/7/2021,TV,8,Love (ft. Marriage and Divorce),Love (ft. Marriage and Divorce): Season 2,2
Malaysia,MY,18/7/2021,TV,9,Birth of a Beauty,Birth of a Beauty: Season 1,1
Malaysia,MY,18/7/2021,TV,10,Racket Boys,Racket Boys: Season 1,3
Malaysia,MY,11/7/2021,TV,1,Sex/Life,Sex/Life: Season 1,2
Malaysia,MY,11/7/2021,TV,2,"Nevertheless,","Nevertheless,: Season 1",2
Malaysia,MY,11/7/2021,TV,3,Vincenzo,Vincenzo: Season 1,2
Malaysia,MY,11/7/2021,TV,4,Hospital Playlist,Hospital Playlist: Season 2,2
Malaysia,MY,11/7/2021,TV,5,Mine,Mine: Season 1,2
Malaysia,MY,11/7/2021,TV,6,Racket Boys,Racket Boys: Season 1,2
Malaysia,MY,11/7/2021,TV,7,Love (ft. Marriage and Divorce),Love (ft. Marriage and Divorce): Season 2,1
Malaysia,MY,11/7/2021,TV,8,Hospital Playlist,Hospital Playlist: Season 1,2
Malaysia,MY,11/7/2021,TV,9,Reply 1988,Reply 1988: Season 1,1
Malaysia,MY,11/7/2021,TV,10,Crash Landing on You,Crash Landing on You: Season 1,2
Malaysia,MY,4/7/2021,TV,1,Sex/Life,Sex/Life: Season 1,1
Malaysia,MY,4/7/2021,TV,2,Mine,Mine: Season 1,1
Malaysia,MY,4/7/2021,TV,3,Vincenzo,Vincenzo: Season 1,1
